2022-02-01 12:54:43.737620600;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 12:54:43.798585300;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 13:32:41.433528300;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 13:32:41.497573800;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 13:35:12.636030600;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 13:35:12.704532800;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 13:47:55.395027900;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 13:47:55.456024100;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 14:16:56.897238900;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 14:16:57.004282500;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 14:22:09.894422800;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
2022-02-01 14:22:09.958422300;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Attribute DB Name is not an attribute of the XP_VPMReference_Ext type
